"label","url"
"Calaveras Contours (Line, WMS)","https://raw.githubusercontent.com/OpenGeoMetadata/edu.berkeley/02b742b5d7ea01aa77bad37a4429951164b34eab/metadata-aardvark/s7sq63/geoblacklight.json"
"Calaveras Tracts (Polygon, WMS)","https://raw.githubusercontent.com/OpenGeoMetadata/edu.berkeley/02b742b5d7ea01aa77bad37a4429951164b34eab/metadata-aardvark/s7st30/geoblacklight.json"
"Air Stations (Points, WMS)","https://raw.githubusercontent.com/geoblacklight/geoblacklight/b0f8e0f854949f297d83c11598b7fb0669b50c6e/spec/fixtures/solr_documents/cornell_html_metadata.json"
"Bangladesh Topo (Raster, WMS, Restricted)","https://raw.githubusercontent.com/OpenGeoMetadata/edu.berkeley/02b742b5d7ea01aa77bad37a4429951164b34eab/metadata-aardvark/s7042k/geoblacklight.json"
"Tibet (Scanned Map, COG)","https://raw.githubusercontent.com/geoblacklight/geoblacklight/refs/heads/main/spec/fixtures/solr_documents/public_cog_princeton.json"
"Sanborn (Scanned Map, COG)","https://raw.githubusercontent.com/OpenGeoMetadata/edu.utexas/2540a551f4f8d32fb4599e3baa0625cb40a88b21/metadata-aardvark/utlmaps-5b6ad9fb-2635-4622-b539-4b59b6ac9322.json"
"Louisiana Districts (PMTiles, Vector)","https://raw.githubusercontent.com/geoblacklight/geoblacklight/3ff40cc2da1f67d671625c78c581457772eb706b/spec/fixtures/solr_documents/public_pmtiles_princeton.json"
"Farmland (PMTiles, Vector)","https://gist.githubusercontent.com/thatbudakguy/4cf4bbf98cb02f5198592a8aed2bad3f/raw/b0f2406b07c50d7537330791cd52443b151194e7/farmland.json"
"Flowers (PMTiles, Raster)","https://gist.githubusercontent.com/thatbudakguy/b237fb412b71cc2b8352c4c5067f1f22/raw/4dae9352501d93e93b1a93f9cb2dae37bc8bec27/flower.json"
"Countries Demo (Vector TileJSON)","https://gist.githubusercontent.com/thatbudakguy/2be84fa59dbf5e5b85b237903f80d18b/raw/b6ff324e6bab2cfc65af1159939c6a1cbec490a5/tilejson"
"Tibet (Raster TileJSON over COG)","https://gist.githubusercontent.com/thatbudakguy/2be84fa59dbf5e5b85b237903f80d18b/raw/fb8f6e416af087a7a5c2a84094a0cfc421d8f41c/tilejson-raster"
"Stanford Farm (EPSG:4326 COG)","https://gist.githubusercontent.com/thatbudakguy/d75a2a5916328be3f1597cab89fa79b4/raw/aad202cf8a31dca8c803191902d493b5edc50e7d/cog.json"
"Finland 2G Coverage (COG, Restricted)","./build/assets/records/restricted-cog.json"
"Ag Districts (TMS)","https://raw.githubusercontent.com/geoblacklight/geoblacklight/9f7dbb4c36dc0b8e88fb9be5282d7b1663858829/spec/fixtures/solr_documents/tms.json"
"Faults (XYZ Tiles)","https://raw.githubusercontent.com/geoblacklight/geoblacklight/9f7dbb4c36dc0b8e88fb9be5282d7b1663858829/spec/fixtures/solr_documents/xyz.json"
"Wien Orthophoto (WMTS)","https://raw.githubusercontent.com/geoblacklight/geoblacklight/refs/heads/main/spec/fixtures/solr_documents/wmts-multiple.json"
"Night Lights (WMTS)","https://gist.githubusercontent.com/thatbudakguy/e04997a394ae14e0ddf1b3ed972d262a/raw/89a833fdae67872e00889f1a77e29a04fa44fdf9/night_lights.json"
"Glacial Boundaries (ESRI Dynamic Map Layer, ESRI WMS)","./build/assets/records/esri-dynamic-map-layer.json"
"Glacial Boundaries (ESRI Dynamic Map Layer, Single Layer)","./build/assets/records/esri-dynamic-map-layer-single.json"
"Land Cover (ESRI Tiled Map Layer)","./build/assets/records/esri-tiled-map-layer.json"
"NAIP Imagery (ESRI Image Map Layer)","./build/assets/records/esri-image-map-layer.json"
"Landscape Trees (ESRI Feature Layer, Points)","./build/assets/records/esri-feature-layer.json"
"WI Historic Imagery (ESRI Feature Layer, Large)","./build/assets/records/wi_historic_imagery.json"
"Neighborhoods (Polygons, GeoJSON)","https://raw.githubusercontent.com/OpenGeoMetadata/edu.stanford.purl/b74664cbb36fb985fe2ebee8d0d6d9657f06ada1/metadata-aardvark/rv/900/sk/6861/geoblacklight.json"
"Temperature (Points, GeoJSON)","https://raw.githubusercontent.com/OpenGeoMetadata/edu.stanford.purl/b74664cbb36fb985fe2ebee8d0d6d9657f06ada1/metadata-aardvark/qp/917/dm/2243/geoblacklight.json"
"Peatland (Index Map, Polygons)","https://raw.githubusercontent.com/OpenGeoMetadata/edu.stanford.purl/b74664cbb36fb985fe2ebee8d0d6d9657f06ada1/metadata-aardvark/zy/089/tj/2215/geoblacklight.json"
"Millionth Map (Index Map, Overlapping Polygons)","https://raw.githubusercontent.com/geoblacklight/geoblacklight/be395f5d12a75c7f643baf550ace66efd387f602/spec/fixtures/solr_documents/index-map-v1-complex.json"
"Dalian (Index Map, Polygons, Mixed Availability)","https://raw.githubusercontent.com/OpenGeoMetadata/edu.stanford.purl/3b796c5f3af45c136d25e076d5a3cfe8e401cac7/metadata-aardvark/zz/075/gp/2099/geoblacklight.json"
"Hopkins (Index Map, Points)","https://gist.githubusercontent.com/thatbudakguy/dcf881807aea33739a8cbb8fcefa42d0/raw/67b80876bdd17c21d654024bc77a1e4ece8a7fb6/hopkins.json"
"Isles (IIIF v2 Manifest, Complex Geometry)","https://raw.githubusercontent.com/geoblacklight/geoblacklight/9f7dbb4c36dc0b8e88fb9be5282d7b1663858829/spec/fixtures/solr_documents/complex-geom.json"
